current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,5 dk.,"2,0 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,8 dk.,"3,2 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,6 dk.,"2,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,28 dk.,"25,3 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"16,8 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,16 dk.,"11,4 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,5 dk.,"2,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,10 dk.,"4,0 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322,18 dk.,"13,5 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,15 dk.,"5,8 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,17 dk.,"6,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,14 dk.,"5,1 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,13 dk.,"5,1 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,14 dk.,"10,3 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,14 dk.,"10,0 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,11 dk.,"5,8 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,17 dk.,"13,5 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103,27 dk.,"21,9 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,10 dk.,"5,0 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,8 dk.,"3,7 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,6 dk.,"2,3 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,15 dk.,"10,7 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,9 dk.,"3,6 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,27 dk.,"24,6 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,4 dk.,"1,8 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,18 dk.,"16,2 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271,17 dk.,"12,8 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,16 dk.,"8,3 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,16 dk.,"8,2 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,11 dk.,"5,7 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,17 dk.,"13,8 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,18 dk.,"12,9 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,14 dk.,"12,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,15 dk.,"12,1 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,27 dk.,"26,6 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869,17 dk.,"18,2 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,10 dk.,"4,7 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,20 dk.,"17,6 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,7 dk.,"3,6 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,29 dk.,"26,0 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,5 dk.,"1,9 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,9 dk.,"3,4 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,19 dk.,"14,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,3 dk.,"1,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531,18 dk.,"7,8 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,6 dk.,"2,5 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,6 dk.,"2,1 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,3 dk.,"1,1 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,15 dk.,"6,0 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,7 dk.,"3,4 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,9 dk.,"3,5 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,19 dk.,"17,3 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,29 dk.,"25,8 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157,19 dk.,"8,2 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,21 dk.,"18,5 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,18 dk.,"16,7 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,19 dk.,"15,8 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,23 dk.,"18,5 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,17 dk.,"15,1 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,18 dk.,"14,7 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,16 dk.,"15,3 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,16 dk.,"6,7 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229,18 dk.,"16,9 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,32 dk.,"27,9 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,30 dk.,"26,1 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,31 dk.,"25,3 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,28 dk.,"24,5 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,27 dk.,"24,8 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,33 dk.,"27,8 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,30 dk.,"24,1 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,16 dk.,"6,8 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461,29 dk.,"26,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,7 dk.,"2,8 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,9 dk.,"3,4 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,15 dk.,"5,4 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,6 dk.,"2,1 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,6 dk.,"2,6 km",MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,18 dk.,"13,3 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,6 dk.,"2,3 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,19 dk.,"16,6 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758,28 dk.,"25,0 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,9 dk.,"4,1 km",MG-O9ES1GAX0UT0LMEC4ED1,40.982326,29.132531
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,7 dk.,"2,9 km",MG-0PAOFFWBA7LHKMQHZU5F,40.9789263,29.117322
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,8 dk.,"3,2 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,16 dk.,"10,1 km",MG-CZPILZVKAZUAHNOIROBA,41.0213777,29.1436103
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,9 dk.,"4,0 km",MG-OT3HMPVMUMGHFKJ2XSL8,40.9869642,29.1319157
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,7 dk.,"2,7 km",MG-HGLGFZLGIHSV4E8KEV0D,40.9980402,29.0997271
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,30 dk.,"26,5 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,21 dk.,"18,1 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
MG-XYSU2IQIGAPSWURW4RZY,40.98750099999999,29.100184,19 dk.,"13,8 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
